#Date		All	Fix	All-minus-Fix
2009-02-04	496	135	361	276a2f55ef88541268b294f440bbb1f86de4eb85
2009-02-05	502	136	366	7bd5d43cec7adc7ae07cd05b93996eb9fc0b75c0
2009-02-09	513	142	371	5340e5cabb036dfbb2d5a9dc316e954f8bd41e26
2009-02-12	513	142	371	aeb02b469b267ac3701d599c05c0e11152bd020c
2009-03-02	520	146	374	59b5d0f38e4a16c28b1da634db686dc423551cff
2009-03-09	532	148	384	0fb4a38a6f47bcdf11fbc60863830a2dad6e42b0
2009-03-15	540	151	389	7d582a0f89260cf00ae5c2f7f56049016731c1c6
2009-03-23	549	157	392	b1a5067768df1f969ac16e25b87cdfecd3415ffd
2009-03-26	549	157	392	243bda4ad63e5facc61f4d1a4ef9460653169bf4
2009-03-27	560	161	399	494cc7f5858ba71b01d39241884d30e3f802f5ff
2009-03-29	566	163	403	335dbb80376bb872a775fbf7ec65304f6ca8e51b
2009-04-02	573	165	408	5aa5651662a928e7b6b4d245f2255cc3527ca803
2009-04-04	579	169	410	fd6f9695483ed3779565c7d345c7247dace6fb49
2009-04-06	589	173	416	118dae53bd6d3add2ee72b8a57fb5a3c2ab60342
2009-04-08	589	173	416	e60f779555ab417763bb644b560e0690071f08ec
2009-04-16	598	177	421	d625dccf281628dbdd84e86f0af9db9258890ea5
2009-04-22	609	182	427	9b87eb2facb9a93d718d79c8aa22c9334026d12a
2009-04-29	617	184	433	651caa461ccb335bcced91c2019233c5bb07a792
2009-05-05	617	184	433	323f23c37cdd2d43c26aca0ed55081717a3ae69d
2009-05-09	617	184	433	518f6c60447d40ae0fc5adaaf523d2e6b5d81300
2009-05-19	629	186	443	c1aa451710664effd81c179dcdcf583cd98615c1
2009-05-26	641	190	451	222faf9536443f6ac04ff531c70e56162b88f0a1
2009-06-01	647	191	456	85b6c101b29bde19b09f08274b7122afbeea0d14
2009-06-02	647	191	456	df33ae74fb0106eae11953d87291943ec140f9c8
2009-06-09	647	191	456	9595747ed7233ae7d0b4bca2c4a62d7093997070
2009-06-15	647	191	456	f9ef75cd03e14b3638f53986b2036765310d44ce
2009-06-18	657	193	464	7ae9323df1cdb9fee57425df7b1d9c5e88a92aa7
2009-06-22	668	200	468	ea446928e57e1920072409a9517bd2e6cb84bc4e
2009-06-24	676	202	474	18e4ed849f82a6d8d4d9ccabe99a922eaf689ec1
2009-06-28	687	206	481	c09b0eb922357e4effecc5d24dd07db6efc061e0
2009-07-01	698	207	491	1a3834ae61c356561c6e2f949252ab8990e1423f
2009-07-06	713	213	500	9029398320ba26e531f554f74a9e1223275186da
2009-07-09	723	217	506	fc2bd31b53037c6c33efe28c37013090cfd60a98
2009-07-14	732	218	514	518865a5a4e180241f87fb03ad503132133f5074
2009-07-22	748	223	525	987ac92e8a89b2a2d2d4415fc8524e6d17be90d4
2009-07-27	762	226	536	6b0473d2a86c85581d2705b4dd613df83efce137
2009-08-04	783	232	551	7d3efee53fc6e9bfebd888332fe37eb1b5a95426
2009-08-05	783	232	551	b3fc43f3ff7a668aba1c74340840c2cf753984e3
2009-08-18	799	234	565	3532e728831519c1cd5c9bb281b69495a0220a6c
2009-08-23	799	234	565	a6916871ac7bb1f916a2fff6739cd9dc844a0cd8
2009-08-25	801	236	565	14166296ddd5f4fdb8ce062b3d59d93bc5759d3c
2009-08-26	803	237	566	b057f2e10576862d456c469bcfc537de72958732
2009-09-03	808	237	571	6eea0287e61b7871ebbcf79b45b4f35b60b52ea5
2009-09-06	808	237	571	271659f936154ee559720a67faa7267552c49fd6
2009-09-11	828	238	590	f71bea88907ddebb9abed9beaae8c78d7f0024bc
2009-09-16	837	241	596	da760e0bbbd395364f555bfeda1116648ad67a85
2009-09-17	850	245	605	6f31c8afd7e4b261cd72957f521f705dd0480550
2009-09-25	869	254	615	f08f2c24e2b29d6cfa6724cc08ccf4a841a16d97
2009-09-25	873	255	618	ed345b1091592607bcd9b3cb8ab238f7b4fb4a58
2009-09-28	880	256	624	1787cf7d3ae0ca64c9582d890e8533719f12f3b0
2009-09-30	886	258	628	7e714ae29d7dffc42c14b4e6c9693f0a13f6e7a6
2009-10-02	899	262	637	44438670e2def7c20562d1ef537acb33b3211fc3
2009-10-07	913	265	648	200654b2a0168af9a82eea44ae62fe2f99e2a451
